id;reason;date;state;reportreason
1;mobile Ball Intuitive;2021-09-01T19:53:05;true;Auto
2;Molière reboot;2021-09-02T07:59:22;true;microchip invoice c
3;Open-architected Russie cross-media;2021-09-01T20:23:00;false;transmitting Centre
4;copy withdrawal Sleek;2021-09-02T10:02:31;false;Kroon
5;navigate;2021-09-01T16:21:33;true;e-business Wooden withdrawal
6;capacity toolset Tuna;2021-09-01T22:29:31;true;Toys
7;internet client-server;2021-09-02T01:04:20;true;compelling transmit Unbranded
8;Computer matrices;2021-09-02T05:45:53;true;Beauty value-added JBOD
9;reinvent Agent;2021-09-02T00:07:34;true;web-readiness Grenade
10;Tasty;2021-09-02T06:33:21;false;Baby Beauty Ball
